/fields=id,latitude,longitude,date_time,cruise,aqua_filename,aqua_es_error,aqua_pixel_total,aqua_tdiff,aqua_solz,aqua_senz,aqua_cv,aqua_windspeed,aqua_rrs412,aqua_rrs443,aqua_rrs488,aqua_rrs531,aqua_rrs547,aqua_rrs555,aqua_rrs667,aqua_rrs678,insitu_rrs412,insitu_rrs443,insitu_rrs488,insitu_rrs531,insitu_rrs547,insitu_rrs555,insitu_rrs667,insitu_rrs678,insitu_data_source
/units=none,degrees,degrees,yyyy-mm-dd hh:mm:ss,none,none,unitless,unitless,seconds,degrees,degrees,unitless,m*s^-1,sr^-1,sr^-1,sr^-1,sr^-1,sr^-1,sr^-1,sr^-1,sr^-1,sr^-1,sr^-1,sr^-1,sr^-1,sr^-1,sr^-1,sr^-1,sr^-1,unitless
/end_header
593607,20.81380200,-157.20126200,2015-02-21 23:35:34,moby257,A2015053002000.L2_LAC.R0000031841_20N_20N_157W_157W.hdf_OCVAL.nc_13884_593607_B5.tgz,0.00000000,25,2673,39.37,50.11,0.034,4.997,0.01166800,0.00887300,0.00601200,0.00206400,0.00152400,0.00125000,0.00006800,0.00010500,0.01092518,0.00832088,0.00562179,0.00209363,0.00147149,0.00134212,0.00011299,0.00011682,moby
593613,20.81570200,-157.20092300,2015-02-22 23:35:34,moby257,A2015053232500.L2_LAC.R0000031841_13884_593613.hdf_OCVAL.nc_valtarg_B5.tgz,0.00000000,25,-632,32.60,49.72,0.019,3.018,0.01074900,0.00828600,0.00563300,0.00195300,0.00143000,0.00117600,0.00001700,0.00001900,0.01070075,0.00824555,0.00563594,0.00207393,0.00145751,0.00132906,0.00011247,0.00011631,moby
593619,20.81169000,-157.19805000,2015-02-23 22:30:34,moby257,A2015055000500.L2_LAC.R0000031841_13884_593619.hdf_OCVAL.nc_valtarg_B5.tgz,0.00000000,25,5836,37.04,32.37,0.019,3.106,0.01189500,0.00901300,0.00600400,0.00205700,0.00150000,0.00127800,0.00009100,0.00009800,0.01102369,0.00846899,0.00566699,0.00203917,0.00143599,0.00131695,0.00010609,0.00010893,moby
593679,20.81191500,-157.19149000,2015-05-22 23:36:13,moby258,A2015142231500.L2_LAC.R0000031842_20N_20N_157W_157W.hdf_OCVAL.nc_13885_593679_B5.tgz,0.00000000,25,-1043,12.49,56.18,0.016,2.043,0.01554500,0.01160300,0.00723900,0.00257400,0.00193200,0.00153400,0.00013700,0.00011400,0.01421599,0.01033148,0.00663211,0.00213857,0.00149006,0.00135493,0.00010564,0.00010848,moby
593733,20.81256200,-157.18320000,2015-05-29 22:31:17,moby258,A2015149232500.L2_LAC.R0000031842_13885_593733.hdf_OCVAL.nc_valtarg_B5.tgz,0.00000000,25,3228,13.75,49.57,0.013,3.426,0.01455500,0.01075500,0.00683700,0.00237500,0.00174700,0.00142300,0.00012200,0.00010900,0.01332804,0.00972304,0.00634942,0.00200045,0.00135733,0.00122413,0.00006159,0.00006212,moby
593811,20.81552000,-157.19523300,2015-06-08 23:36:21,moby258,A2015160000000.L2_LAC.R0000031842_13885_593811.hdf_OCVAL.nc_valtarg_B5.tgz,0.00000000,25,1530,21.88,21.10,0.014,6.579,0.01279400,0.00973900,0.00662900,0.00245900,0.00181300,0.00155200,0.00015200,0.00015800,0.01172336,0.00897397,0.00631372,0.00226536,0.00158550,0.00144550,0.00011390,0.00011690,moby
593853,20.81754700,-157.17951200,2015-06-14 22:32:00,moby258,A2015165232500.L2_LAC.R0000031842_13885_593853.hdf_OCVAL.nc_valtarg_B5.tgz,0.00000000,25,3190,13.25,49.22,0.033,3.062,0.01532400,0.01142600,0.00721800,0.00250900,0.00181700,0.00140500,0.00010400,0.00008400,0.01259754,0.00935463,0.00612065,0.00200355,0.00139475,0.00126802,0.00008773,0.00008883,moby
593889,20.82045300,-157.19950300,2015-06-23 23:36:27,moby258,A2015174231500.L2_LAC.R0000031842_20N_20N_157W_157W.hdf_OCVAL.nc_13885_593889_B5.tgz,0.00000000,25,-1048,11.38,55.85,0.052,5.914,0.01262100,0.00984400,0.00648400,0.00232300,0.00167400,0.00130200,0.00023100,0.00020800,0.01141985,0.00899732,0.00587032,0.00209877,0.00147316,0.00134105,0.00010444,0.00010584,moby
593955,20.82696500,-157.18790700,2015-06-30 00:41:30,moby258,A2015181002000.L2_LAC.R0000031842_20N_20N_157W_157W.hdf_OCVAL.nc_13885_593955_B5.tgz,0.00000000,25,-1286,25.06,50.30,0.010,0.761,0.01344100,0.00982900,0.00623700,0.00206100,0.00150200,0.00120200,0.00008300,0.00008600,0.01409548,0.01022188,0.00626365,0.00214565,0.00149855,0.00136375,0.00011467,0.00011852,moby
593961,20.82490300,-157.19692200,2015-06-30 22:31:31,moby258,A2015181232000.L2_LAC.R0000031842_20N_20N_157W_157W.hdf_OCVAL.nc_13885_593961_B5.tgz,0.00000000,25,3206,12.37,49.53,0.008,1.550,0.01459600,0.01083200,0.00680600,0.00238500,0.00175400,0.00147700,0.00013600,0.00012700,0.01314427,0.00981264,0.00640656,0.00210088,0.00145338,0.00131975,0.00009289,0.00009407,moby
